('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1636902 function calls (1616083 primitive calls) in 3.011 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      111    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
        1    0.000    0.000    0.027    0.027 css_parser.py:326(__init__)
    27795    0.014    0.000    0.025    0.000 <frozen importlib._bootstrap>:645(parent)
     4191    0.005    0.000    0.023    0.000 parser.py:345(check_for_whole_start_tag)
     8393    0.017    0.000    0.023    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.023    0.023 css_match.py:1(<module>)
97792/92314    0.020    0.000    0.022    0.000 {built-in method builtins.len}
        1    0.022    0.022    0.022    0.022 {method 'connect' of '_socket.socket' objects}
       16    0.000    0.000    0.021    0.001 css_parser.py:1149(process_selectors)
    56/16    0.001    0.000    0.021    0.001 css_parser.py:925(parse_selectors)
        1    0.000    0.000    0.021    0.021 client.py:245(parse_headers)
       86    0.021    0.000    0.021    0.000 {built-in method _io.open_code}
     4075    0.008    0.000    0.021    0.000 __init__.py:870(object_was_parsed)
     4190    0.010    0.000    0.021    0.000 __init__.py:953(_popToTag)
        1    0.000    0.000    0.020    0.020 client.py:213(_read_headers)
    24656    0.013    0.000    0.020    0.000 element.py:2508(__eq__)
    29027    0.013    0.000    0.020    0.000 element.py:2007(is_empty_element)
        1    0.000    0.000    0.019    0.019 hashlib.py:1(<module>)
    23184    0.017    0.000    0.017    0.000 {method 'join' of 'str' objects}
       86    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
     4075    0.008    0.000    0.016    0.000 element.py:1478(__new__)
        1    0.000    0.000    0.016    0.016 request.py:539(build_opener)
    24704    0.011    0.000    0.016    0.000 _parser.py:167(__getitem__)
    44/32    0.000    0.000    0.016    0.000 css_parser.py:579(parse_pseudo_class)
    40/31    0.000    0.000    0.016    0.001 css_parser.py:746(parse_pseudo_open)
        1    0.000    0.000    0.015    0.015 request.py:766(__init__)
        1    0.000    0.000    0.015    0.015 request.py:2687(getproxies)
        1    0.000    0.000    0.015    0.015 request.py:2664(getproxies_macosx_sysconf)
        1    0.015    0.015    0.015    0.015 {built-in method _scproxy._get_proxies}
       86    0.015    0.000    0.015    0.000 {built-in method marshal.loads}
      262    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
    16691    0.009    0.000    0.014    0.000 _markupbase.py:44(updatepos)
        1    0.000    0.000    0.014    0.014 tempfile.py:1(<module>)
11325/11304    0.008    0.000    0.014    0.000 typing.py:426(inner)
    11384    0.004    0.000    0.013    0.000 {built-in method builtins.next}
     9530    0.002    0.000    0.013    0.000 __init__.py:122(unescape)
     8580    0.005    0.000    0.012    0.000 filter.py:629(_match_attribute_value_helper)
    12342    0.012    0.000    0.012    0.000 element.py:382(setup)
      320    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
    16534    0.006    0.000    0.012    0.000 element.py:1421(_self_and)
    21912    0.012    0.000    0.012    0.000 {method 'group' of 're.Match' objects}
      155    0.001    0.000    0.012    0.000 _compiler.py:514(_compile_info)
    12522    0.012    0.000    0.012    0.000 {method 'search' of 're.Pattern' objects}
      564    0.008    0.000    0.011    0.000 _compiler.py:241(_optimize_charset)
        1    0.000    0.000    0.011    0.011 datetime.py:1(<module>)
     4075    0.007    0.000    0.011    0.000 __init__.py:735(string_container)
        1    0.000    0.000    0.011    0.011 ssl.py:1(<module>)
       58    0.011    0.000    0.011    0.000 {built-in method posix.getcwd}
 4779/290    0.008    0.000    0.011    0.000 _parser.py:177(getwidth)
     4192    0.009    0.000    0.011    0.000 __init__.py:812(pushTag)
    28364    0.011    0.000    0.011    0.000 {method 'rpartition' of 'str' objects}
      130    0.000    0.000    0.010    0.000 _parser.py:97(closegroup)
    31809    0.010    0.000    0.010    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.010    0.010 _typing.py:1(<module>)
    19492    0.009    0.000    0.009    0.000 dammit.py:315(quoted_attribute_value)
        1    0.000    0.000    0.009    0.009 socket.py:1(<module>)
    27587    0.009    0.000    0.009    0.000 element.py:3090(descendants)
        1    0.000    0.000    0.009    0.009 shutil.py:1(<module>)
        1    0.000    0.000    0.009    0.009 header.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _htmlparser.py:1(<module>)
        1    0.000    0.000    0.008    0.008 models.py:1(<module>)
        1    0.000    0.000    0.008    0.008 parse.py:1(<module>)
    11349    0.005    0.000    0.008    0.000 _parser.py:260(get)
     4191    0.006    0.000    0.008    0.000 __init__.py:789(popTag)
    22232    0.008    0.000    0.008    0.000 {method 'lower' of 'str' objects}
4523/4515    0.007    0.000    0.007    0.000 {built-in method __new__ of type object at 0x111013dc0}
    49587    0.007    0.000    0.007    0.000 typing.py:2371(cast)
    12526    0.004    0.000    0.007    0.000 filter.py:292(matches_string)
